antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
SEX_OTHER,SERIOUS_NO,1.0,0.71979,0.71979,0.71979,1.0,1.0,0.0,1.0,0.0,0.71979,0.0,0.8598950000000001
SERIOUS_NO,SEX_OTHER,0.71979,1.0,0.71979,1.0,1.0,1.0,0.0,inf,0.0,0.71979,0.0,0.8598950000000001
SEX_OTHER,nan,1.0,0.35861,0.35861,0.35861,1.0,1.0,0.0,1.0,0.0,0.35861,0.0,0.679305
nan,SEX_OTHER,0.35861,1.0,0.35861,1.0,1.0,1.0,0.0,inf,0.0,0.35861,0.0,0.679305
nan,SERIOUS_NO,0.35861,0.71979,0.27258,0.760101503025571,1.0560045333021728,1.0,0.014456108099999976,1.168035663140765,0.08268661541162117,0.3382641284654141,0.1438617573447449,0.5693976443565316
SERIOUS_NO,nan,0.71979,0.35861,0.27258,0.3786937856874921,1.0560045333021726,1.0,0.014456108099999976,1.032325100288455,0.18926650818621643,0.3382641284654141,0.031312907415912535,0.5693976443565316
"SEX_OTHER, nan",SERIOUS_NO,0.35861,0.71979,0.27258,0.760101503025571,1.0560045333021728,1.0,0.014456108099999976,1.168035663140765,0.08268661541162117,0.3382641284654141,0.1438617573447449,0.5693976443565316
"SEX_OTHER, SERIOUS_NO",nan,0.71979,0.35861,0.27258,0.3786937856874921,1.0560045333021726,1.0,0.014456108099999976,1.032325100288455,0.18926650818621643,0.3382641284654141,0.031312907415912535,0.5693976443565316
"nan, SERIOUS_NO",SEX_OTHER,0.27258,1.0,0.27258,1.0,1.0,1.0,0.0,inf,0.0,0.27258,0.0,0.63629
SEX_OTHER,"nan, SERIOUS_NO",1.0,0.27258,0.27258,0.27258,1.0,1.0,0.0,1.0,0.0,0.27258,0.0,0.63629
nan,"SEX_OTHER, SERIOUS_NO",0.35861,0.71979,0.27258,0.760101503025571,1.0560045333021728,1.0,0.014456108099999976,1.168035663140765,0.08268661541162117,0.3382641284654141,0.1438617573447449,0.5693976443565316
SERIOUS_NO,"SEX_OTHER, nan",0.71979,0.35861,0.27258,0.3786937856874921,1.0560045333021726,1.0,0.014456108099999976,1.032325100288455,0.18926650818621643,0.3382641284654141,0.031312907415912535,0.5693976443565316
REACT_OFF_LABEL_USE,SEX_OTHER,0.13992,1.0,0.13992,1.0,1.0,1.0,0.0,inf,0.0,0.13992,0.0,0.56996
